,localidade,municipio,estado,data_avistamento,municipio_estado
576,Praia dos Náufragos,Aracaju,SE,2019-11-14,Aracaju/SE
577,Praia dos Náufragos,Aracaju,SE,2019-11-14,Aracaju/SE
578,Praia de Cumuruxatiba,Prado,BA,2019-11-14,Prado/BA
579,Praia de Urussuquara,São Mateus,ES,2019-11-14,São Mateus/ES
580,APA de Piaçabuçu - Dunas,Piaçabuçu,AL,2019-11-14,Piaçabuçu/AL
581,Barra de Peso e praia do Joabe,Belmonte,BA,2019-11-14,Belmonte/BA
582,Rio do peixe grande,Prado,BA,2019-11-14,Prado/BA
583,Praia de Monsarás,Linhares,ES,2019-11-14,Linhares/ES
584,Praia de Cururupe,Ilhéus,BA,2019-11-14,Ilhéus/BA
585,Prainha,Itacaré,BA,2019-11-14,Itacaré/BA
586,Dunas,Estância,SE,2019-11-15,Estância/SE
587,Praia de Sabiaguaba,Fortaleza,CE,2019-11-15,Fortaleza/CE
588,Praia de Atalaia,Luís Correia,PI,2019-11-15,Luís Correia/PI
589,Barra do Cunhaú,Canguaretama,RN,2019-11-15,Canguaretama/RN
590,Praia do Cabeço,Brejo Grande,SE,2019-11-15,Brejo Grande/SE
591,Praia da Boca da Barra,Tamandaré,PE,2019-11-15,Tamandaré/PE
592,Praia Caueira,Itaporanga D'Ajuda,SE,2019-11-15,Itaporanga D'Ajuda/SE
593,Praia do Miai de Baixo,Coruripe,AL,2019-11-15,Coruripe/AL
594,Praia do Toco,Feliz Deserto,AL,2019-11-15,Feliz Deserto/AL
595,Praia do Cabeço,Brejo Grande,SE,2019-11-15,Brejo Grande/SE
596,Ilha do Delta do Jequitinhonha,Belmonte,BA,2019-11-15,Belmonte/BA
597,Praia do Costinha (Ilha do Funil),Brejo Grande,SE,2019-11-15,Brejo Grande/SE
598,Praia de Guriri,São Mateus,ES,2019-11-15,São Mateus/ES
599,Praia do Rio do Peixe,Prado,BA,2019-11-15,Prado/BA
600,Praia dos Coqueiros,Porto Seguro,BA,2019-11-15,Porto Seguro/BA
601,Praia de Ponta da Tulha,Ilhéus,BA,2019-11-15,Ilhéus/BA
602,Aritagua,Ilhéus,BA,2019-11-15,Ilhéus/BA
603,Praia de Atalaia,Luís Correia,PI,2019-11-15,Luís Correia/PI
604,Praia do Pontal do Ipiranga,Linhares,ES,2019-11-15,Linhares/ES
605,Praia Peito de Moça,Luís Correia,PI,2019-11-15,Luís Correia/PI
606,Praia do Bugigão em Caraíva,Prado,BA,2019-11-15,Prado/BA
607,Ponta do Corumbau,Porto Seguro,BA,2019-11-15,Porto Seguro/BA
608,Praia da Costa,Barra Dos Coqueiros,SE,2019-11-16,Barra Dos Coqueiros/SE
609,Praia Atalaia Nova,Barra Dos Coqueiros,SE,2019-11-16,Barra Dos Coqueiros/SE
610,Praia Pontal do Maceió,Fortim,CE,2019-11-16,Fortim/CE
611,Praia de Arakakaí,Porto Seguro,BA,2019-11-16,Porto Seguro/BA
612,Praia do Salgado,Maragogi,AL,2019-11-16,Maragogi/AL
613,Praia da Costa,Barra Dos Coqueiros,SE,2019-11-16,Barra Dos Coqueiros/SE
614,Praia Pontal do Sul,Conceição Da Barra,ES,2019-11-16,Conceição Da Barra/ES
615,Praia Pontal do Sul,Conceição Da Barra,ES,2019-11-16,Conceição Da Barra/ES
616,Praia de Barra Grande,Maraú,BA,2019-11-16,Maraú/BA
617,Barra de Belmonte (Praia de Caieira),Santa Cruz Cabrália,BA,2019-11-16,Santa Cruz Cabrália/BA
618,Praia de Pratigi,Ituberá,BA,2019-11-16,Ituberá/BA
619,Manguezais da Ilha do Caju,Araioses,MA,2019-11-16,Araioses/MA
620,Ilha da Melancieira,Tutóia,MA,2019-11-16,Tutóia/MA
621,Praia de Guriri,São Mateus,ES,2019-11-16,São Mateus/ES
622,Praia de Urussuquara,São Mateus,ES,2019-11-16,São Mateus/ES
623,Praia do Pontal do Ipiranga,Linhares,ES,2019-11-17,Linhares/ES
624,Praia Costa Azul,Jandaíra,BA,2019-11-17,Jandaíra/BA
625,Praia de Caraúbas,Maxaranguape,RN,2019-11-17,Maxaranguape/RN
626,Entrerios Inhambupe/Itariri,Conde,BA,2019-11-17,Conde/BA
627,Praia de Barra de Tabatinga,Nísia Floresta,RN,2019-11-17,Nísia Floresta/RN
628,Carvalho,Nilo Peçanha,BA,2019-11-17,Nilo Peçanha/BA
629,Praia de Itaúnas,Conceição Da Barra,ES,2019-11-17,Conceição Da Barra/ES
630,Quinta Praia (Praia do Encanto),Cairu,BA,2019-11-17,Cairu/BA
631,Praia de Bitingui,Japaratinga,AL,2019-11-17,Japaratinga/AL
632,Arandi-Algodões,Maraú,BA,2019-11-17,Maraú/BA
633,Praia do Degredo,Linhares,ES,2019-11-17,Linhares/ES
634,Praia Cacimbas,Linhares,ES,2019-11-17,Linhares/ES
635,Praia de Guriri,São Mateus,ES,2019-11-17,São Mateus/ES
636,Praia da Via Costeira,Natal,RN,2019-11-17,Natal/RN
637,Praia de Cumbuco,Caucaia,CE,2019-11-17,Caucaia/CE
638,Praia de Caraíva,Porto Seguro,BA,2019-11-18,Porto Seguro/BA
639,Morro de São Paulo (terceira praia),Cairu,BA,2019-11-18,Cairu/BA
640,Praia de Barra Seca,Linhares,ES,2019-11-18,Linhares/ES
641,Praia de Cumbuco,Fortaleza,CE,2019-11-18,Fortaleza/CE
642,Praia de Mamucaba,Tamandaré,PE,2019-11-18,Tamandaré/PE
643,Praia de Itaúnas,Conceição Da Barra,ES,2019-11-18,Conceição Da Barra/ES
644,Praia de Povoação,Linhares,ES,2019-11-18,Linhares/ES
645,Praia do Mutá,Porto Seguro,BA,2019-11-18,Porto Seguro/BA
646,Praia de São Bento,Maragogi,AL,2019-11-18,Maragogi/AL
647,Praia de Guaxindiba,Conceição Da Barra,ES,2019-11-18,Conceição Da Barra/ES
648,Praia da Barra Nova,São Mateus,ES,2019-11-18,São Mateus/ES
649,Praia de Guriri,Conceição Da Barra,ES,2019-11-18,Conceição Da Barra/ES
650,Barra de Belmonte (Praia de Caieira),Belmonte,BA,2019-11-18,Belmonte/BA
651,Ilha Grande de Camamu,Camamu,BA,2019-11-18,Camamu/BA
